Category,Item Name,Description,Photo Filename,Has Product Page,Notes
Power Drills,Bosch,Power drills and accessories.,bosch.jpg,no,
Power Drills,AEG,Power drills and accessories.,aeg.jpg,no,
Pneumatic Tools,Pneumatic Tools,Ask us for available models and specifications for your application.,pneumatic-tools.jpg,no,
Hydraulic Hose & Fittings,Hydraulic Hose,Various sizes and pressure ratings.,hydraulic-hose.jpg,no,
Hydraulic Hose & Fittings,Fittings,Connectors and adapters for hydraulic hose assemblies.,fittings.jpg,no,
Electrical Wires / Cables,Phelps Dodge,Electrical wires and cables.,phelps-dodge.jpg,no,
Electrical Wires / Cables,Columbia,Electrical wires and cables.,columbia.jpg,no,
Electrical Wires / Cables,Duraflex,Electrical wires and cables.,duraflex.jpg,no,
Electrical Wires / Cables,Philflex,Electrical wires and cables.,philflex.jpg,no,
Construction Materials,Paints,For structural and finishing work.,paints.jpg,no,
Construction Materials,Plywood,Various thicknesses for construction use.,plywood.jpg,no,
Construction Materials,Good Lumber,Quality lumber for construction projects.,good-lumber.jpg,no,
Sheets,Acrylic Sheets,"For signage, displays, and fabrication.",acrylic-sheets.jpg,no,
Sheets,G.I. Sheets,Galvanized iron sheets for construction.,g-i-sheets.jpg,no,
Sheets,B.I. Sheets,Black iron sheets for fabrication work.,b-i-sheets.jpg,no,
Sheets,Polycarbonate Sheets,For roofing and glazing applications.,polycarbonate-sheets.jpg,no,
Tubing & Structural Steel,Angle Bar,Angle bars for framing and structural support.,angle-bar.jpg,yes,
Tubing & Structural Steel,Flat Bar,"Flat bars for fabrication, framing, and general structural use.",flat-bar.jpg,yes,
Tubing & Structural Steel,Square Tube,Square tubes for fabrication and structural use.,square-tube.jpg,yes,
Tubing & Structural Steel,Rectangular Tube,Rectangular tubes for fabrication and structural use.,rectangular-tube.jpg,yes,
Tubing & Structural Steel,Slotted Angle Bar,"Slotted angle bars for shelving, racking, and structural framing.",slotted-angle-bar.jpg,yes,
Tubing & Structural Steel,Shafting,Steel shafting for machinery and fabrication use.,shafting.jpg,yes,
Tubing & Structural Steel,B.I./G.I. Pipes,"Black iron (B.I.) and galvanized iron (G.I.) pipes for plumbing, structural, and fabrication use.",b-i-g-i-pipes.jpg,yes,
Tubing & Structural Steel,SKD11,SKD11 tool steel bar stock for die and mold fabrication.,skd11.jpg,yes,
Tubing & Structural Steel,S45C,S45C carbon steel bar stock for general machining and fabrication.,s45c.jpg,yes,
Tubing & Structural Steel,4140,AISI 4140 alloy steel bar stock for machining and fabrication.,4140.jpg,yes,
Bearings,FAG,Industrial bearings.,fag.jpg,no,
Bearings,IKO,Industrial bearings.,iko.jpg,no,
Bearings,KOYO,Industrial bearings.,koyo.jpg,no,
Gloves,Cotton Gloves,Lightweight cotton work gloves for general handling and light-duty tasks.,cotton-gloves.jpg,yes,
Gloves,Leather Gloves,Heavy-duty leather gloves built for grip and abrasion resistance on tougher jobs.,leather-gloves.jpg,yes,
Gloves,Maong Gloves,Heavy-duty denim work gloves for general construction and handling work.,maong-gloves.jpg,yes,
Gloves,Rubberized Gloves,Rubber-coated gloves for improved grip and light liquid protection.,rubberized-gloves.jpg,yes,
Gloves,Latex Gloves,"Latex-coated gloves for wet, slippery, or fine-handling work.",latex-gloves.jpg,yes,
Gloves,Cadet Gloves,Cadet-style industrial work gloves for general-purpose handling.,cadet-gloves.jpg,yes,
Gloves,Nitrile Gloves,Nitrile-coated gloves offering chemical and oil resistance.,nitrile-gloves.jpg,yes,
Safety Products,Goggles,Eye protection for industrial work.,goggles.jpg,no,
Safety Products,Safety Shoes,Protective footwear for job sites.,safety-shoes.jpg,no,
Safety Products,Leak Detector,For detecting gas and pipeline leaks.,leak-detector.jpg,no,
Packaging Materials,Packaging Tape,Packaging tape for sealing and bundling cartons and parcels.,packaging-tape.jpg,yes,
Packaging Materials,Masking Tape,"Masking tape for temporary bonding, marking, and light surface protection.",masking-tape.jpg,yes,
Packaging Materials,Kraft Tape,Kraft paper tape for carton and box sealing.,kraft-tape.jpg,yes,
Packaging Materials,Corner Angle Board,Corner angle boards for edge protection on palletized and stacked loads.,corner-angle-board.jpg,yes,
Packaging Materials,LDPE/HD/PP Plastic Bags/Sheets,"LDPE, HDPE, and PP plastic bags and sheets for wrapping, covering, and packing goods.",ldpe-hd-pp-plastic-bags-sheets.jpg,yes,
Packaging Materials,P.E. Foam,Polyethylene foam sheets and rolls for cushioning and surface protection.,p-e-foam.jpg,yes,
Packaging Materials,Plastic and Wooden Pallets,"Plastic and wooden pallets for storage, handling, and shipping of palletized goods.",plastic-and-wooden-pallets.jpg,yes,
Packaging Materials,Plastic Crates,"Plastic crates for storage, handling, and transport of goods.",plastic-crates.jpg,yes,
Packaging Materials,Bins,Storage bins for warehousing and general handling use.,bins.jpg,yes,
Packaging Materials,Bubble Sheets,Bubble wrap sheets for cushioning and protecting goods in transit.,bubble-sheets.jpg,yes,
Packaging Materials,Stretch Film,For pallet wrapping and load stability.,stretch-film.jpg,yes,
Packaging Materials,Styropore,Styrofoam sheets and blocks for cushioning and insulation.,styropore.jpg,yes,
Packaging Materials,Nylon Strap,Nylon strapping for bundling and securing goods.,nylon-strap.jpg,yes,
Packaging Materials,Metal and Plastic Clip,Metal and plastic strapping clips and seals for securing straps in place.,metal-and-plastic-clip.jpg,yes,
Packaging Materials,Rubber Bands,Rubber bands for general bundling and handling use.,rubber-bands.jpg,yes,
Packaging Materials,Tape Dispenser,"Tape dispensers for fast, consistent taping in packing operations.",tape-dispenser.jpg,yes,
Caster Wheels,Swivel Casters,Swivel-mount casters for maneuverable equipment and carts.,swivel-casters.jpg,no,
Caster Wheels,Rigid Casters,Fixed-direction casters for straight-line load movement.,rigid-casters.jpg,no,
Caster Wheels,Heavy-Duty Casters,Reinforced casters for heavy industrial loads.,heavy-duty-casters.jpg,no,
Caster Wheels,Light-Duty Casters,Casters for furniture and light equipment.,light-duty-casters.jpg,no,
